Tool,File,Peak memory used,Runtime,Grouping Method,Singletons,Dataset,Completed?,Input reads (total),Input reads (mapped),Ouput reads (total),Output reads (mapped),Iteration
RUMINA_8_threads.acyclic_0_None,SRR2057591.bam,0.81695556640625,15.306318998336792,acyclic,Strict,iclip,Completed,32199796,24087600,2982241,2982241,0
RUMINA_8_threads.acyclic_0_None,SRR2057578.bam,0.50543212890625,12.509742736816406,acyclic,Strict,iclip,Completed,40335876,27320610,1202476,1202476,0
RUMINA_8_threads.acyclic_0_None,SRR2057587.bam,0.207000732421875,12.950093030929565,acyclic,Strict,iclip,Completed,50200307,35217677,375224,375224,0
RUMINA_8_threads.acyclic_0_None,SRR2057593.bam,0.3721923828125,8.010087966918945,acyclic,Strict,iclip,Completed,26262514,15752539,1160903,1160903,0
RUMINA_8_threads.acyclic_0_None,SRR2057592.bam,0.5484161376953125,11.0396249294281,acyclic,Strict,iclip,Completed,29407116,18608161,1617525,1617525,0
RUMINA_8_threads.acyclic_0_None,SRR2057586.bam,0.1046600341796875,5.159063100814819,acyclic,Strict,iclip,Completed,19071541,14207706,127893,127893,0
RUMINA_8_threads.acyclic_0_None,SRR2057579.bam,0.3353271484375,8.520124912261963,acyclic,Strict,iclip,Completed,29692490,19358021,717452,717452,0
RUMINA_8_threads.acyclic_0_None,SRR2057569.bam,1.561248779296875,24.330553770065308,acyclic,Strict,iclip,Completed,50779697,38750707,3468232,3468232,0
RUMINA_8_threads.acyclic_0_None,SRR2057582.bam,0.787811279296875,15.840868949890137,acyclic,Strict,iclip,Completed,39471313,28875433,2600897,2600897,0
RUMINA_8_threads.acyclic_0_None,SRR2057596.bam,0.0629730224609375,1.7122571468353271,acyclic,Strict,iclip,Completed,13421059,4272050,71362,71362,0
RUMINA_8_threads.acyclic_0_None,SRR2057597.bam,0.03228759765625,0.23043203353881836,acyclic,Strict,iclip,Completed,4672700,250648,15691,15691,0
RUMINA_8_threads.acyclic_0_None,SRR2057583.bam,1.723388671875,22.058065176010132,acyclic,Strict,iclip,Completed,47622399,32736687,3093263,3093263,0
RUMINA_8_threads.acyclic_0_None,SRR2057568.bam,0.1802825927734375,7.118471145629883,acyclic,Strict,iclip,Completed,24425746,18186531,383035,383035,0
RUMINA_8_threads.acyclic_0_None,SRR2057595.bam,0.0383148193359375,1.1372342109680176,acyclic,Strict,iclip,Completed,14786493,2827748,20753,20753,0
RUMINA_8_threads.acyclic_0_None,SRR2057581.bam,0.534820556640625,18.549023866653442,acyclic,Strict,iclip,Completed,65530071,47111880,551150,551150,0
RUMINA_8_threads.acyclic_0_None,SRR2057580.bam,0.985107421875,20.291075706481934,acyclic,Strict,iclip,Completed,55869362,39806552,2358770,2358770,0
RUMINA_8_threads.acyclic_0_None,SRR2057594.bam,0.28961181640625,6.653228998184204,acyclic,Strict,iclip,Completed,22747123,13806190,851417,851417,0
UMI-tools_1,SRR2057572.bam,1.07342529296875,366.51827907562256,,Singletons,iclip,Completed,51266941,38909086,9259813,9259813,1
UMI-tools_1,SRR2057566.bam,0.3425750732421875,133.4251880645752,,Singletons,iclip,Completed,58026048,32112503,704326,704326,1
UMI-tools_1,SRR2057598.bam,0.13787841796875,27.460173845291138,,Singletons,iclip,Completed,16928257,7628082,29821,29821,1
UMI-tools_1,SRR2057567.bam,0.148406982421875,57.83326601982117,,Singletons,iclip,Completed,29073508,16150468,48403,48403,1
UMI-tools_1,SRR2057573.bam,0.97100830078125,161.7482979297638,,Singletons,iclip,Completed,36547643,29099813,3029168,3029168,1
UMI-tools_1,SRR2057565.bam,0.61016845703125,173.0184690952301,,Singletons,iclip,Completed,54224960,37282481,1736316,1736316,1
UMI-tools_1,SRR2057571.bam,0.6188201904296875,177.50275683403015,,Singletons,iclip,Completed,53324083,38959442,1730167,1730167,1
UMI-tools_1,SRR2057570.bam,0.208251953125,106.74884605407715,,Singletons,iclip,Completed,40405667,28847003,248349,248349,1
UMI-tools_1,SRR2057564.bam,1.0693206787109375,175.66198706626892,,Singletons,iclip,Completed,34489769,22727389,3960913,3960913,1
